state,value
Alabama,59609
Alaska,86370
Arizona,72581
Arkansas,56335
California,91905
Colorado,87598
Connecticut,90213
Delaware,79325
District of Columbia,99803
Florida,67016
Georgia,71355
Hawaii,92458
Idaho,70214
Illinois,78433
Indiana,67173
Iowa,70571
Kansas,69747
Kentucky,60193
Louisiana,57852
Maine,68251
Maryland,98461
Massachusetts,96505
Michigan,68505
Minnesota,84313
Mississippi,52985
Missouri,65920
Montana,63249
Nebraska,71722
Nevada,71646
New Hampshire,90845
New Jersey,97126
New Mexico,58722
New York,81386
North Carolina,66186
North Dakota,73959
Ohio,66990
Oklahoma,61364
Oregon,76362
Pennsylvania,73170
Rhode Island,81370
South Carolina,63623
South Dakota,69457
Tennessee,64035
Texas,73035
Utah,86833
Vermont,74014
Virginia,87249
Washington,90955
West Virginia,55217
Wisconsin,72458
Wyoming,72495
Puerto Rico,24002
